,Cfperc,Ffperc,PDO,Foperc,oiSHperc,oZSperc,Playoff,ConfFinal
199,0.503,0.501,1.007,0.516,0.092,0.494,1,0
200,0.493,0.498,1.011,0.51,0.098,0.512,1,0
201,0.509,0.514,0.997,0.508,0.088,0.533,1,0
202,0.466,0.465,1.021,0.495,0.101,0.499,1,0
203,0.482,0.494,0.991,0.531,0.089,0.486,0,0
204,0.435,0.427,1.011,0.483,0.097,0.428,0,0
205,0.471,0.485,0.99,0.462,0.091,0.5,0,0
206,0.446,0.443,0.991,0.49,0.09,0.47,0,0
207,0.486,0.488,1.005,0.509,0.091,0.501,1,0
208,0.526,0.52,0.997,0.47,0.09,0.527,0,0
209,0.434,0.43,0.983,0.468,0.069,0.458,0,0
210,0.53,0.542,0.992,0.492,0.088,0.542,1,0
211,0.52,0.52,0.995,0.518,0.1,0.525,0,0
212,0.54,0.531,1.005,0.52,0.079,0.56,1,1
213,0.514,0.517,0.993,0.503,0.085,0.5,0,0
214,0.526,0.531,1.0,0.489,0.086,0.524,1,0
215,0.529,0.524,0.974,0.53,0.072,0.541,0,0
216,0.522,0.514,1.001,0.541,0.082,0.513,0,0
217,0.538,0.535,0.997,0.504,0.086,0.546,0,0
218,0.507,0.497,1.013,0.485,0.091,0.512,1,0
219,0.512,0.517,1.0,0.519,0.092,0.509,1,1
220,0.517,0.511,1.007,0.491,0.093,0.511,1,0
221,0.52,0.521,0.999,0.494,0.084,0.538,1,0
222,0.502,0.511,1.014,0.512,0.098,0.528,1,0
223,0.502,0.504,1.018,0.471,0.095,0.508,1,1
224,0.496,0.494,0.999,0.515,0.088,0.521,0,0
225,0.511,0.523,1.002,0.503,0.09,0.521,1,0
226,0.516,0.529,1.005,0.538,0.093,0.504,1,0
227,0.474,0.472,0.971,0.521,0.069,0.491,0,0
228,0.527,0.517,1.004,0.517,0.096,0.55,1,0
229,0.49,0.485,0.97,0.485,0.082,0.517,0,0
230,0.509,0.508,1.015,0.48,0.105,0.536,1,1
231,0.482,0.488,1.017,0.524,0.091,0.479,1,0
232,0.507,0.505,0.991,0.486,0.079,0.511,0,0
233,0.49,0.498,1.007,0.469,0.096,0.496,1,0
234,0.467,0.463,0.992,0.49,0.086,0.471,0,0
235,0.467,0.479,1.014,0.477,0.105,0.484,1,0
236,0.47,0.465,1.005,0.493,0.095,0.474,0,0
237,0.441,0.446,1.009,0.508,0.091,0.472,0,0
238,0.457,0.453,1.006,0.468,0.089,0.465,0,0
239,0.38,0.393,0.985,0.452,0.077,0.424,0,0
240,0.529,0.524,1.002,0.508,0.098,0.53,0,0
241,0.55,0.548,0.998,0.499,0.08,0.549,0,0
242,0.527,0.517,0.979,0.513,0.074,0.512,0,0
243,0.526,0.519,0.988,0.512,0.085,0.496,0,0
244,0.536,0.527,0.982,0.538,0.081,0.546,0,0
245,0.517,0.516,1.003,0.507,0.083,0.521,0,0
246,0.503,0.503,1.0,0.502,0.083,0.506,0,0
247,0.502,0.496,1.014,0.495,0.092,0.516,0,0
248,0.484,0.479,0.99,0.494,0.083,0.484,0,0
249,0.521,0.527,0.999,0.514,0.082,0.5,0,0
250,0.492,0.495,1.007,0.502,0.094,0.491,0,0
251,0.499,0.508,1.026,0.499,0.105,0.516,0,0
252,0.52,0.532,0.995,0.494,0.088,0.521,0,0
253,0.476,0.467,1.007,0.509,0.098,0.51,0,0
254,0.51,0.506,0.986,0.477,0.085,0.525,0,0
255,0.495,0.499,1.004,0.508,0.083,0.486,0,0
256,0.491,0.496,1.003,0.518,0.09,0.518,0,0
257,0.5,0.503,1.013,0.5,0.094,0.528,0,0
258,0.51,0.505,1.013,0.494,0.094,0.539,0,0
259,0.507,0.524,1.003,0.507,0.098,0.506,0,0
260,0.486,0.491,0.988,0.483,0.093,0.518,0,0
261,0.478,0.488,1.011,0.495,0.097,0.508,0,0
262,0.51,0.5,0.999,0.497,0.085,0.537,0,0
263,0.472,0.477,0.99,0.484,0.088,0.474,0,0
264,0.484,0.483,0.995,0.494,0.079,0.493,0,0
265,0.479,0.472,0.995,0.537,0.096,0.493,0,0
266,0.45,0.462,1.001,0.5,0.092,0.486,0,0
267,0.477,0.478,0.994,0.454,0.082,0.508,0,0
268,0.485,0.487,1.014,0.494,0.094,0.486,0,0
269,0.464,0.471,1.003,0.469,0.089,0.476,0,0
